system:index,elevation,flood_label,lulc,rain_0,rain_1,rain_2,rain_3,rain_4,rain_5,rain_6,slope,twi,.geo
1988,11,0,10,40.19999872148037,6.679999811574817,25.29999970085919,31.279999114573002,0.13999999687075615,2.9299998860806227,-9999,2.8234336,4.108076447087003,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.31697209385277,10.037325006379909]}"
1989,-2,0,40,25.25999946333468,9.109999755397439,15.859999537467957,46.399998515844345,3.519999887794256,9.269999753683805,7.799999810755253,6.7243567,2.1378854559794767,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.83888869964437,9.690215980596122]}"
1990,5,0,40,26.529999151825905,8.489999882876873,18.60999978519976,30.629999367520213,6.229999819770455,3.3099998869001865,0.07000000029802322,3.8706713,2.693276973695674,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.95746631714815,9.718512912045888]}"
1991,0,0,10,23.119999434798956,11.7199997138232,12.149999657645822,38.82999880425632,2.9999999664723873,8.279999930411577,2.289999946951866,4.1528583,3.315824842039109,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.79469158766568,9.769986377825937]}"
1992,3,0,40,26.00999947823584,11.219999697059393,15.429999515414238,34.84999939799309,7.659999758005142,3.139999881386757,0.17999999225139618,2.6420085,3.075979254981925,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.88362480079348,10.055650638175948]}"
1993,11,0,40,22.619999350979924,23.44999933242798,17.99999949708581,35.82999921217561,8.349999822676182,17.289999648928642,40.22999908402562,6.5318713,8.030820129861045,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.4925881576163,9.821190349020753]}"
1994,2,0,30,22.66999930329621,47.159998435527086,16.179999873042107,16.63999960012734,8.71999990567565,9.95999969728291,2.2099999487400055,3.37618,7.384201488353973,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.12095512457603,10.024389266288587]}"
1995,3,0,10,39.879998967051506,17.199999649077654,26.3899994045496,38.57999926060438,1.1899999529123306,3.2799999192357063,-9999,0.92740995,6.426085146274203,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.2051318409799,10.325145223411802]}"
1996,-1,0,40,32.059999108314514,6.129999868571758,15.399999499320984,34.519999496638775,1.4699999541044235,1.4999999552965164,-9999,2.0987449,4.4050532218248035,"{""geodesic"":false,""type"":""Point"",""coordinates"":[106.01352119087721,10.022502804191937]}"
1997,-2,0,40,22.629999365657568,16.539999751374125,14.619999669492245,40.82999939657748,9.00999970920384,15.819999540224671,24.379999365657568,3.3743296,2.830874082526999,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.59526559459113,9.766213453632638]}"
1998,5,0,50,26.71999933756888,8.52999971434474,16.679999575018883,32.219999101012945,3.919999934732914,3.3999999798834324,1.4099999740719795,1.8543341,3.4303529125286274,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.87688743616263,9.980461648895144]}"
1999,4,0,10,32.32999912649393,20.109999783337116,14.149999637156725,42.65999937616289,9.179999899119139,3.5999999213963747,0.7699999809265137,1.3218122,4.462193922438885,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.73890620852188,10.106046125615052]}"
2000,-5,1,40,22.459999460726976,34.53999945521355,19.829999342560768,32.20999923534691,7.279999848455191,7.829999811947346,3.679999951273203,8.494274,3.2877657487977334,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.25004303090401,9.810949554781786]}"
2001,7,1,40,26.81999954022467,55.149998631328344,17.01999943330884,32.899999406188726,11.58999989926815,13.619999662041664,8.109999928623438,8.542489,2.588874175484955,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.66533418675249,9.929257677700328]}"
